ram,size,camera,product,Brand,Model,battery,price
256,6.67,108,گوشی موبایل, شیائومی, 11T Pro 5G ,5000,10989000
64,64,6.67,گوشی موبایل, شیائومی, Poco X3 NFC,5160,975000
4,1.77,VGA,گوشی موبايل,نوکيا,110 ,800,17259000
128,6.7,108,گوشی موبايل,سامسونگ,  Galaxy A73 5G ,5000,13639000
128,6.4,48,گوشی موبايل,سامسونگ,  Galaxy A33 5G ,5000,8579000
50,128,6.6,گوشی موبایل, سامسونگ,  Galaxy A13 SM-A137 ,5000,10650000
128,6.43,64,گوشی موبایل, شیائومی, Redmi Note 10S ,5000,5589000
64,6.53,5000,گوشی موبایل, شیائومی, Redmi 9C ,5000,4229000
32GB,6.5in,50MP,گوشی موبايل,سامسونگ,   A04 ,5000mAh,1675000
16MB,2.4,VGA,گوشی موبايل,نوکيا,5310 (2020),1200,7589000
128,6.43,50,گوشی موبایل, شیائومی,Redmi Note 11 ,5000,10239000
4MB,1.77,X,گوشی موبايل,نوکيا,105 (2019) ,800,679000
50,64,6.6,گوشی موبایل, سامسونگ,  Galaxy A13 SM-A137 ,5000,7549000
32,6.5,8,گوشی موبايل,سامسونگ,  Galaxy A03 Core ,5000,3795000
32,6.53,13,گوشی موبایل, شیائومی, Redmi 9A ,5000,3649000
128,6.1,12,گوشی موبایل, اپل,iPhone 13 CH/A Not Active ,3240,11550000
128,6.43,108,گوشی موبایل, شیائومی, Redmi Note 11S ,5000,13680000
128,6.67,108,گوشی موبایل, شیائومی,Redmi Note 11 Pro ,5000,16859000
256,6.46,64,گوشی موبايل,سامسونگ,   A53 5G ,5000,8699000
128,6.4,64,گوشی موبايل,سامسونگ,  M32  SM-M325F/DS,6000,99759000
256,6.7,12,گوشی موبایل, اپل,iPhone 13 Pro Max ZA/A Not Active ,4352,13490000
128,6.67,108,گوشی موبایل, شیائومی,Redmi Note 10 Pro ,5020,19559000
256,6.7,108,گوشی موبايل,سامسونگ,  Galaxy A73 5G ,5000,19990000
256,6.67,108,گوشی موبایل, شیائومی, 11T Pro 5G ,5000,10989000
64,64,6.67,گوشی موبایل, شیائومی, Poco X3 NFC,5160,975000
4,1.77,VGA,گوشی موبايل,نوکيا,110 ,800,17259000
128,6.7,108,گوشی موبايل,سامسونگ,  Galaxy A73 5G ,5000,13639000
128,6.4,48,گوشی موبايل,سامسونگ,  Galaxy A33 5G ,5000,8579000
50,128,6.6,گوشی موبایل, سامسونگ,  Galaxy A13 SM-A137 ,5000,10650000
128,6.43,64,گوشی موبایل, شیائومی, Redmi Note 10S ,5000,5589000
64,6.53,5000,گوشی موبایل, شیائومی, Redmi 9C ,5000,4229000
32GB,6.5in,50MP,گوشی موبايل,سامسونگ,   A04 ,5000mAh,1675000
16MB,2.4,VGA,گوشی موبايل,نوکيا,5310 (2020),1200,7589000
64,6.4,64,گوشی موبايل,سامسونگ,  M32  SM-M325F/DS,6000,10325000
128,6.43,50,گوشی موبایل, شیائومی,Redmi Note 11 ,5000,10239000
4MB,1.77,X,گوشی موبايل,نوکيا,105 (2019) ,800,679000
50,64,6.6,گوشی موبایل, سامسونگ,  Galaxy A13 SM-A137 ,5000,7549000
32,6.5,8,گوشی موبايل,سامسونگ,  Galaxy A03 Core ,5000,3795000
32,6.53,13,گوشی موبایل, شیائومی, Redmi 9A ,5000,3649000
128,6.1,12,گوشی موبایل, اپل,iPhone 13 CH/A Not Active ,3240,11550000
128,6.43,108,گوشی موبایل, شیائومی, Redmi Note 11S ,5000,13680000
128,6.67,108,گوشی موبایل, شیائومی,Redmi Note 11 Pro ,5000,16859000
256,6.46,64,گوشی موبايل,سامسونگ,   A53 5G ,5000,8699000
128,6.4,64,گوشی موبايل,سامسونگ,  M32  SM-M325F/DS,6000,99759000
256,6.7,12,گوشی موبایل, اپل,iPhone 13 Pro Max ZA/A Not Active ,4352,13490000
128,6.67,108,گوشی موبایل, شیائومی,Redmi Note 10 Pro ,5020,19559000
256,6.7,108,گوشی موبايل,سامسونگ,  Galaxy A73 5G ,5000,19990000
256,6.67,108,گوشی موبایل, شیائومی, 11T Pro 5G ,5000,10989000
64,64,6.67,گوشی موبایل, شیائومی, Poco X3 NFC,5160,975000
4,1.77,VGA,گوشی موبايل,نوکيا,110 ,800,17259000
128,6.7,108,گوشی موبايل,سامسونگ,  Galaxy A73 5G ,5000,13639000
128,6.4,48,گوشی موبايل,سامسونگ,  Galaxy A33 5G ,5000,8579000
50,128,6.6,گوشی موبایل, سامسونگ,  Galaxy A13 SM-A137 ,5000,10650000
128,6.43,64,گوشی موبایل, شیائومی, Redmi Note 10S ,5000,5589000
64,6.53,5000,گوشی موبایل, شیائومی, Redmi 9C ,5000,4229000
32GB,6.5in,50MP,گوشی موبايل,سامسونگ,   A04 ,5000mAh,1675000
16MB,2.4,VGA,گوشی موبايل,نوکيا,5310 (2020),1200,7589000
64,6.4,64,گوشی موبايل,سامسونگ,  M32  SM-M325F/DS,6000,10325000
128,6.6,50,گوشی موبايل,سامسونگ, Galaxy A23 ,5000,7499000
128,6.43,50,گوشی موبایل, شیائومی,Redmi Note 11 ,5000,10239000
4MB,1.77,X,گوشی موبايل,نوکيا,105 (2019) ,800,679000
50,64,6.6,گوشی موبایل, سامسونگ,  Galaxy A13 SM-A137 ,5000,7549000
32,6.5,8,گوشی موبايل,سامسونگ,  Galaxy A03 Core ,5000,3795000
32,6.53,13,گوشی موبایل, شیائومی, Redmi 9A ,5000,3649000
128,6.1,12,گوشی موبایل, اپل,iPhone 13 CH/A Not Active ,3240,11550000
128,6.43,108,گوشی موبایل, شیائومی, Redmi Note 11S ,5000,13680000
128,6.67,108,گوشی موبایل, شیائومی,Redmi Note 11 Pro ,5000,16859000
256,6.46,64,گوشی موبايل,سامسونگ,   A53 5G ,5000,8699000
128,6.4,64,گوشی موبايل,سامسونگ,  M32  SM-M325F/DS,6000,99759000
256,6.7,12,گوشی موبایل, اپل,iPhone 13 Pro Max ZA/A Not Active ,4352,13490000
128,6.67,108,گوشی موبایل, شیائومی,Redmi Note 10 Pro ,5020,19559000
256,6.7,108,گوشی موبايل,سامسونگ,  Galaxy A73 5G ,5000,19990000
256,6.67,108,گوشی موبایل, شیائومی, 11T Pro 5G ,5000,10989000
64,64,6.67,گوشی موبایل, شیائومی, Poco X3 NFC,5160,975000
4,1.77,VGA,گوشی موبايل,نوکيا,110 ,800,17259000
128,6.7,108,گوشی موبايل,سامسونگ,  Galaxy A73 5G ,5000,13639000
128,6.4,48,گوشی موبايل,سامسونگ,  Galaxy A33 5G ,5000,8579000
50,128,6.6,گوشی موبایل, سامسونگ,  Galaxy A13 SM-A137 ,5000,10650000
128,6.43,64,گوشی موبایل, شیائومی, Redmi Note 10S ,5000,5589000
64,6.53,5000,گوشی موبایل, شیائومی, Redmi 9C ,5000,4229000
32GB,6.5in,50MP,گوشی موبايل,سامسونگ,   A04 ,5000mAh,1675000
16MB,2.4,VGA,گوشی موبايل,نوکيا,5310 (2020),1200,7589000
64,6.4,64,گوشی موبايل,سامسونگ,  M32  SM-M325F/DS,6000,10325000
128,6.6,50,گوشی موبايل,سامسونگ, Galaxy A23 ,5000,7499000
48,64,6.53,گوشی موبایل, شیائومی, Redmi 9T ,6000,5629000
128,6.43,50,گوشی موبایل, شیائومی,Redmi Note 11 ,5000,10239000
4MB,1.77,X,گوشی موبايل,نوکيا,105 (2019) ,800,679000
50,64,6.6,گوشی موبایل, سامسونگ,  Galaxy A13 SM-A137 ,5000,7549000
32,6.5,8,گوشی موبايل,سامسونگ,  Galaxy A03 Core ,5000,3795000
32,6.53,13,گوشی موبایل, شیائومی, Redmi 9A ,5000,3649000
128,6.1,12,گوشی موبایل, اپل,iPhone 13 CH/A Not Active ,3240,11550000
128,6.43,108,گوشی موبایل, شیائومی, Redmi Note 11S ,5000,13680000
128,6.67,108,گوشی موبایل, شیائومی,Redmi Note 11 Pro ,5000,16859000
256,6.46,64,گوشی موبايل,سامسونگ,   A53 5G ,5000,8699000
128,6.4,64,گوشی موبايل,سامسونگ,  M32  SM-M325F/DS,6000,99759000
256,6.7,12,گوشی موبایل, اپل,iPhone 13 Pro Max ZA/A Not Active ,4352,13490000
128,6.67,108,گوشی موبایل, شیائومی,Redmi Note 10 Pro ,5020,19559000
256,6.7,108,گوشی موبايل,سامسونگ,  Galaxy A73 5G ,5000,19990000
256,6.67,108,گوشی موبایل, شیائومی, 11T Pro 5G ,5000,10989000
64,64,6.67,گوشی موبایل, شیائومی, Poco X3 NFC,5160,975000
4,1.77,VGA,گوشی موبايل,نوکيا,110 ,800,17259000
128,6.7,108,گوشی موبايل,سامسونگ,  Galaxy A73 5G ,5000,13639000
128,6.4,48,گوشی موبايل,سامسونگ,  Galaxy A33 5G ,5000,8579000
50,128,6.6,گوشی موبایل, سامسونگ,  Galaxy A13 SM-A137 ,5000,10650000
128,6.43,64,گوشی موبایل, شیائومی, Redmi Note 10S ,5000,5589000
64,6.53,5000,گوشی موبایل, شیائومی, Redmi 9C ,5000,4229000
32GB,6.5in,50MP,گوشی موبايل,سامسونگ,   A04 ,5000mAh,1675000
16MB,2.4,VGA,گوشی موبايل,نوکيا,5310 (2020),1200,7589000
64,6.4,64,گوشی موبايل,سامسونگ,  M32  SM-M325F/DS,6000,10325000
128,6.6,50,گوشی موبايل,سامسونگ, Galaxy A23 ,5000,7499000
48,64,6.53,گوشی موبایل, شیائومی, Redmi 9T ,6000,5629000
128,6.75,48,گوشی موبايل,هواوی,Nova Y70,6000,1135000
128,6.43,50,گوشی موبایل, شیائومی,Redmi Note 11 ,5000,10239000
4MB,1.77,X,گوشی موبايل,نوکيا,105 (2019) ,800,679000
50,64,6.6,گوشی موبایل, سامسونگ,  Galaxy A13 SM-A137 ,5000,7549000
32,6.5,8,گوشی موبايل,سامسونگ,  Galaxy A03 Core ,5000,3795000
32,6.53,13,گوشی موبایل, شیائومی, Redmi 9A ,5000,3649000
128,6.1,12,گوشی موبایل, اپل,iPhone 13 CH/A Not Active ,3240,11550000
128,6.43,108,گوشی موبایل, شیائومی, Redmi Note 11S ,5000,13680000
128,6.67,108,گوشی موبایل, شیائومی,Redmi Note 11 Pro ,5000,16859000
256,6.46,64,گوشی موبايل,سامسونگ,   A53 5G ,5000,8699000
128,6.4,64,گوشی موبايل,سامسونگ,  M32  SM-M325F/DS,6000,99759000
256,6.7,12,گوشی موبایل, اپل,iPhone 13 Pro Max ZA/A Not Active ,4352,13490000
128,6.67,108,گوشی موبایل, شیائومی,Redmi Note 10 Pro ,5020,19559000
256,6.7,108,گوشی موبايل,سامسونگ,  Galaxy A73 5G ,5000,19990000
256,6.67,108,گوشی موبایل, شیائومی, 11T Pro 5G ,5000,10989000
64,64,6.67,گوشی موبایل, شیائومی, Poco X3 NFC,5160,975000
4,1.77,VGA,گوشی موبايل,نوکيا,110 ,800,17259000
128,6.7,108,گوشی موبايل,سامسونگ,  Galaxy A73 5G ,5000,13639000
128,6.4,48,گوشی موبايل,سامسونگ,  Galaxy A33 5G ,5000,8579000
50,128,6.6,گوشی موبایل, سامسونگ,  Galaxy A13 SM-A137 ,5000,10650000
128,6.43,64,گوشی موبایل, شیائومی, Redmi Note 10S ,5000,5589000
64,6.53,5000,گوشی موبایل, شیائومی, Redmi 9C ,5000,4229000
32GB,6.5in,50MP,گوشی موبايل,سامسونگ,   A04 ,5000mAh,1675000
16MB,2.4,VGA,گوشی موبايل,نوکيا,5310 (2020),1200,7589000
64,6.4,64,گوشی موبايل,سامسونگ,  M32  SM-M325F/DS,6000,10325000
128,6.6,50,گوشی موبايل,سامسونگ, Galaxy A23 ,5000,7499000
48,64,6.53,گوشی موبایل, شیائومی, Redmi 9T ,6000,5629000
128,6.75,48,گوشی موبايل,هواوی,Nova Y70,6000,1135000
4MB,2.4,X,گوشی موبايل,نوکيا,125 ,1020,5069000
128,6.43,50,گوشی موبایل, شیائومی,Redmi Note 11 ,5000,10239000
4MB,1.77,X,گوشی موبايل,نوکيا,105 (2019) ,800,679000
50,64,6.6,گوشی موبایل, سامسونگ,  Galaxy A13 SM-A137 ,5000,7549000
32,6.5,8,گوشی موبايل,سامسونگ,  Galaxy A03 Core ,5000,3795000
32,6.53,13,گوشی موبایل, شیائومی, Redmi 9A ,5000,3649000
128,6.1,12,گوشی موبایل, اپل,iPhone 13 CH/A Not Active ,3240,11550000
128,6.43,108,گوشی موبایل, شیائومی, Redmi Note 11S ,5000,13680000
128,6.67,108,گوشی موبایل, شیائومی,Redmi Note 11 Pro ,5000,16859000
256,6.46,64,گوشی موبايل,سامسونگ,   A53 5G ,5000,8699000
128,6.4,64,گوشی موبايل,سامسونگ,  M32  SM-M325F/DS,6000,99759000
256,6.7,12,گوشی موبایل, اپل,iPhone 13 Pro Max ZA/A Not Active ,4352,13490000
128,6.67,108,گوشی موبایل, شیائومی,Redmi Note 10 Pro ,5020,19559000
256,6.7,108,گوشی موبايل,سامسونگ,  Galaxy A73 5G ,5000,19990000
256,6.67,108,گوشی موبایل, شیائومی, 11T Pro 5G ,5000,10989000
64,64,6.67,گوشی موبایل, شیائومی, Poco X3 NFC,5160,975000
4,1.77,VGA,گوشی موبايل,نوکيا,110 ,800,17259000
128,6.7,108,گوشی موبايل,سامسونگ,  Galaxy A73 5G ,5000,13639000
128,6.4,48,گوشی موبايل,سامسونگ,  Galaxy A33 5G ,5000,8579000
50,128,6.6,گوشی موبایل, سامسونگ,  Galaxy A13 SM-A137 ,5000,10650000
128,6.43,64,گوشی موبایل, شیائومی, Redmi Note 10S ,5000,5589000
64,6.53,5000,گوشی موبایل, شیائومی, Redmi 9C ,5000,4229000
32GB,6.5in,50MP,گوشی موبايل,سامسونگ,   A04 ,5000mAh,1675000
16MB,2.4,VGA,گوشی موبايل,نوکيا,5310 (2020),1200,7589000
64,6.4,64,گوشی موبايل,سامسونگ,  M32  SM-M325F/DS,6000,10325000
128,6.6,50,گوشی موبايل,سامسونگ, Galaxy A23 ,5000,7499000
48,64,6.53,گوشی موبایل, شیائومی, Redmi 9T ,6000,5629000
128,6.75,48,گوشی موبايل,هواوی,Nova Y70,6000,1135000
4MB,2.4,X,گوشی موبايل,نوکيا,125 ,1020,5069000
64GB,6.5in,50MP,گوشی موبايل,سامسونگ,  A04 ,5000mAh,16675000
128,6.43,50,گوشی موبایل, شیائومی,Redmi Note 11 ,5000,10239000
4MB,1.77,X,گوشی موبايل,نوکيا,105 (2019) ,800,679000
50,64,6.6,گوشی موبایل, سامسونگ,  Galaxy A13 SM-A137 ,5000,7549000
32,6.5,8,گوشی موبايل,سامسونگ,  Galaxy A03 Core ,5000,3795000
32,6.53,13,گوشی موبایل, شیائومی, Redmi 9A ,5000,3649000
128,6.1,12,گوشی موبایل, اپل,iPhone 13 CH/A Not Active ,3240,11550000
128,6.43,108,گوشی موبایل, شیائومی, Redmi Note 11S ,5000,13680000
128,6.67,108,گوشی موبایل, شیائومی,Redmi Note 11 Pro ,5000,16859000
256,6.46,64,گوشی موبايل,سامسونگ,   A53 5G ,5000,8699000
128,6.4,64,گوشی موبايل,سامسونگ,  M32  SM-M325F/DS,6000,99759000
256,6.7,12,گوشی موبایل, اپل,iPhone 13 Pro Max ZA/A Not Active ,4352,13490000
128,6.67,108,گوشی موبایل, شیائومی,Redmi Note 10 Pro ,5020,19559000
256,6.7,108,گوشی موبايل,سامسونگ,  Galaxy A73 5G ,5000,19990000
256,6.67,108,گوشی موبایل, شیائومی, 11T Pro 5G ,5000,10989000
64,64,6.67,گوشی موبایل, شیائومی, Poco X3 NFC,5160,975000
4,1.77,VGA,گوشی موبايل,نوکيا,110 ,800,17259000
128,6.7,108,گوشی موبايل,سامسونگ,  Galaxy A73 5G ,5000,13639000
128,6.4,48,گوشی موبايل,سامسونگ,  Galaxy A33 5G ,5000,8579000
50,128,6.6,گوشی موبایل, سامسونگ,  Galaxy A13 SM-A137 ,5000,10650000
128,6.43,64,گوشی موبایل, شیائومی, Redmi Note 10S ,5000,5589000
64,6.53,5000,گوشی موبایل, شیائومی, Redmi 9C ,5000,4229000
32GB,6.5in,50MP,گوشی موبايل,سامسونگ,   A04 ,5000mAh,1675000
16MB,2.4,VGA,گوشی موبايل,نوکيا,5310 (2020),1200,7589000
64,6.4,64,گوشی موبايل,سامسونگ,  M32  SM-M325F/DS,6000,10325000
128,6.6,50,گوشی موبايل,سامسونگ, Galaxy A23 ,5000,7499000
48,64,6.53,گوشی موبایل, شیائومی, Redmi 9T ,6000,5629000
128,6.75,48,گوشی موبايل,هواوی,Nova Y70,6000,1135000
4MB,2.4,X,گوشی موبايل,نوکيا,125 ,1020,5069000
64GB,6.5in,50MP,گوشی موبايل,سامسونگ,  A04 ,5000mAh,16675000
256,6.67,108,گوشی موبایل, شیائومی,Redmi Note 11 Pro+ 5G ,4500,9366000
128,6.43,50,گوشی موبایل, شیائومی,Redmi Note 11 ,5000,10239000
4MB,1.77,X,گوشی موبايل,نوکيا,105 (2019) ,800,679000
50,64,6.6,گوشی موبایل, سامسونگ,  Galaxy A13 SM-A137 ,5000,7549000
32,6.5,8,گوشی موبايل,سامسونگ,  Galaxy A03 Core ,5000,3795000
32,6.53,13,گوشی موبایل, شیائومی, Redmi 9A ,5000,3649000
128,6.1,12,گوشی موبایل, اپل,iPhone 13 CH/A Not Active ,3240,11550000
128,6.43,108,گوشی موبایل, شیائومی, Redmi Note 11S ,5000,13680000
128,6.67,108,گوشی موبایل, شیائومی,Redmi Note 11 Pro ,5000,16859000
256,6.46,64,گوشی موبايل,سامسونگ,   A53 5G ,5000,8699000
128,6.4,64,گوشی موبايل,سامسونگ,  M32  SM-M325F/DS,6000,99759000
256,6.7,12,گوشی موبایل, اپل,iPhone 13 Pro Max ZA/A Not Active ,4352,13490000
128,6.67,108,گوشی موبایل, شیائومی,Redmi Note 10 Pro ,5020,19559000
256,6.7,108,گوشی موبايل,سامسونگ,  Galaxy A73 5G ,5000,19990000
256,6.67,108,گوشی موبایل, شیائومی, 11T Pro 5G ,5000,10989000
64,64,6.67,گوشی موبایل, شیائومی, Poco X3 NFC,5160,975000
4,1.77,VGA,گوشی موبايل,نوکيا,110 ,800,17259000
128,6.7,108,گوشی موبايل,سامسونگ,  Galaxy A73 5G ,5000,13639000
128,6.4,48,گوشی موبايل,سامسونگ,  Galaxy A33 5G ,5000,8579000
50,128,6.6,گوشی موبایل, سامسونگ,  Galaxy A13 SM-A137 ,5000,10650000
128,6.43,64,گوشی موبایل, شیائومی, Redmi Note 10S ,5000,5589000
64,6.53,5000,گوشی موبایل, شیائومی, Redmi 9C ,5000,4229000
32GB,6.5in,50MP,گوشی موبايل,سامسونگ,   A04 ,5000mAh,1675000
16MB,2.4,VGA,گوشی موبايل,نوکيا,5310 (2020),1200,7589000
64,6.4,64,گوشی موبايل,سامسونگ,  M32  SM-M325F/DS,6000,10325000
128,6.6,50,گوشی موبايل,سامسونگ, Galaxy A23 ,5000,7499000
48,64,6.53,گوشی موبایل, شیائومی, Redmi 9T ,6000,5629000
128,6.75,48,گوشی موبايل,هواوی,Nova Y70,6000,1135000
4MB,2.4,X,گوشی موبايل,نوکيا,125 ,1020,5069000
64GB,6.5in,50MP,گوشی موبايل,سامسونگ,  A04 ,5000mAh,16675000
256,6.67,108,گوشی موبایل, شیائومی,Redmi Note 11 Pro+ 5G ,4500,9366000
128,6.6,50,گوشی موبايل,سامسونگ,  Galaxy M33 5G SM-M۳36BU/DS ,6000,4179000
128,6.43,50,گوشی موبایل, شیائومی,Redmi Note 11 ,5000,10239000
4MB,1.77,X,گوشی موبايل,نوکيا,105 (2019) ,800,679000
50,64,6.6,گوشی موبایل, سامسونگ,  Galaxy A13 SM-A137 ,5000,7549000
32,6.5,8,گوشی موبايل,سامسونگ,  Galaxy A03 Core ,5000,3795000
32,6.53,13,گوشی موبایل, شیائومی, Redmi 9A ,5000,3649000
128,6.1,12,گوشی موبایل, اپل,iPhone 13 CH/A Not Active ,3240,11550000
128,6.43,108,گوشی موبایل, شیائومی, Redmi Note 11S ,5000,13680000
128,6.67,108,گوشی موبایل, شیائومی,Redmi Note 11 Pro ,5000,16859000
256,6.46,64,گوشی موبايل,سامسونگ,   A53 5G ,5000,8699000
128,6.4,64,گوشی موبايل,سامسونگ,  M32  SM-M325F/DS,6000,99759000
256,6.7,12,گوشی موبایل, اپل,iPhone 13 Pro Max ZA/A Not Active ,4352,13490000
128,6.67,108,گوشی موبایل, شیائومی,Redmi Note 10 Pro ,5020,19559000
256,6.7,108,گوشی موبايل,سامسونگ,  Galaxy A73 5G ,5000,19990000
256,6.67,108,گوشی موبایل, شیائومی, 11T Pro 5G ,5000,10989000
64,64,6.67,گوشی موبایل, شیائومی, Poco X3 NFC,5160,975000
4,1.77,VGA,گوشی موبايل,نوکيا,110 ,800,17259000
128,6.7,108,گوشی موبايل,سامسونگ,  Galaxy A73 5G ,5000,13639000
128,6.4,48,گوشی موبايل,سامسونگ,  Galaxy A33 5G ,5000,8579000
50,128,6.6,گوشی موبایل, سامسونگ,  Galaxy A13 SM-A137 ,5000,10650000
128,6.43,64,گوشی موبایل, شیائومی, Redmi Note 10S ,5000,5589000
64,6.53,5000,گوشی موبایل, شیائومی, Redmi 9C ,5000,4229000
32GB,6.5in,50MP,گوشی موبايل,سامسونگ,   A04 ,5000mAh,1675000
16MB,2.4,VGA,گوشی موبايل,نوکيا,5310 (2020),1200,7589000
64,6.4,64,گوشی موبايل,سامسونگ,  M32  SM-M325F/DS,6000,10325000
128,6.6,50,گوشی موبايل,سامسونگ, Galaxy A23 ,5000,7499000
48,64,6.53,گوشی موبایل, شیائومی, Redmi 9T ,6000,5629000
128,6.75,48,گوشی موبايل,هواوی,Nova Y70,6000,1135000
4MB,2.4,X,گوشی موبايل,نوکيا,125 ,1020,5069000
64GB,6.5in,50MP,گوشی موبايل,سامسونگ,  A04 ,5000mAh,16675000
256,6.67,108,گوشی موبایل, شیائومی,Redmi Note 11 Pro+ 5G ,4500,9366000
128,6.6,50,گوشی موبايل,سامسونگ,  Galaxy M33 5G SM-M۳36BU/DS ,6000,4179000
128,6.43,50,گوشی موبایل, شیائومی,Redmi Note 11 ,5000,10239000
128,6.43,50,گوشی موبایل, شیائومی,Redmi Note 11 ,5000,10239000
4MB,1.77,X,گوشی موبايل,نوکيا,105 (2019) ,800,679000
128,6.43,50,گوشی موبایل, شیائومی,Redmi Note 11 ,5000,10239000
4MB,1.77,X,گوشی موبايل,نوکيا,105 (2019) ,800,679000
50,64,6.6,گوشی موبایل, سامسونگ,  Galaxy A13 SM-A137 ,5000,7549000
128,6.43,50,گوشی موبایل, شیائومی,Redmi Note 11 ,5000,10239000
4MB,1.77,X,گوشی موبايل,نوکيا,105 (2019) ,800,679000
50,64,6.6,گوشی موبایل, سامسونگ,  Galaxy A13 SM-A137 ,5000,7549000
32,6.5,8,گوشی موبايل,سامسونگ,  Galaxy A03 Core ,5000,3795000
128,6.43,50,گوشی موبایل, شیائومی,Redmi Note 11 ,5000,10239000
4MB,1.77,X,گوشی موبايل,نوکيا,105 (2019) ,800,679000
50,64,6.6,گوشی موبایل, سامسونگ,  Galaxy A13 SM-A137 ,5000,7549000
32,6.5,8,گوشی موبايل,سامسونگ,  Galaxy A03 Core ,5000,3795000
32,6.53,13,گوشی موبایل, شیائومی, Redmi 9A ,5000,3649000
128,6.43,50,گوشی موبایل, شیائومی,Redmi Note 11 ,5000,10239000
4MB,1.77,X,گوشی موبايل,نوکيا,105 (2019) ,800,679000
50,64,6.6,گوشی موبایل, سامسونگ,  Galaxy A13 SM-A137 ,5000,7549000
32,6.5,8,گوشی موبايل,سامسونگ,  Galaxy A03 Core ,5000,3795000
32,6.53,13,گوشی موبایل, شیائومی, Redmi 9A ,5000,3649000
128,6.1,12,گوشی موبایل, اپل,iPhone 13 CH/A Not Active ,3240,11550000
128,6.43,50,گوشی موبایل, شیائومی,Redmi Note 11 ,5000,10239000
4MB,1.77,X,گوشی موبايل,نوکيا,105 (2019) ,800,679000
50,64,6.6,گوشی موبایل, سامسونگ,  Galaxy A13 SM-A137 ,5000,7549000
32,6.5,8,گوشی موبايل,سامسونگ,  Galaxy A03 Core ,5000,3795000
32,6.53,13,گوشی موبایل, شیائومی, Redmi 9A ,5000,3649000
128,6.1,12,گوشی موبایل, اپل,iPhone 13 CH/A Not Active ,3240,11550000
128,6.43,108,گوشی موبایل, شیائومی, Redmi Note 11S ,5000,13680000
128,6.43,50,گوشی موبایل, شیائومی,Redmi Note 11 ,5000,10239000
4MB,1.77,X,گوشی موبايل,نوکيا,105 (2019) ,800,679000
50,64,6.6,گوشی موبایل, سامسونگ,  Galaxy A13 SM-A137 ,5000,7549000
32,6.5,8,گوشی موبايل,سامسونگ,  Galaxy A03 Core ,5000,3795000
32,6.53,13,گوشی موبایل, شیائومی, Redmi 9A ,5000,3649000
128,6.1,12,گوشی موبایل, اپل,iPhone 13 CH/A Not Active ,3240,11550000
128,6.43,108,گوشی موبایل, شیائومی, Redmi Note 11S ,5000,13680000
128,6.67,108,گوشی موبایل, شیائومی,Redmi Note 11 Pro ,5000,16859000
128,6.43,50,گوشی موبایل, شیائومی,Redmi Note 11 ,5000,10239000
4MB,1.77,X,گوشی موبايل,نوکيا,105 (2019) ,800,679000
50,64,6.6,گوشی موبایل, سامسونگ,  Galaxy A13 SM-A137 ,5000,7549000
32,6.5,8,گوشی موبايل,سامسونگ,  Galaxy A03 Core ,5000,3795000
32,6.53,13,گوشی موبایل, شیائومی, Redmi 9A ,5000,3649000
128,6.1,12,گوشی موبایل, اپل,iPhone 13 CH/A Not Active ,3240,11550000
128,6.43,108,گوشی موبایل, شیائومی, Redmi Note 11S ,5000,13680000
128,6.67,108,گوشی موبایل, شیائومی,Redmi Note 11 Pro ,5000,16859000
256,6.46,64,گوشی موبايل,سامسونگ,   A53 5G ,5000,8699000
128,6.43,50,گوشی موبایل, شیائومی,Redmi Note 11 ,5000,10239000
4MB,1.77,X,گوشی موبايل,نوکيا,105 (2019) ,800,679000
50,64,6.6,گوشی موبایل, سامسونگ,  Galaxy A13 SM-A137 ,5000,7549000
32,6.5,8,گوشی موبايل,سامسونگ,  Galaxy A03 Core ,5000,3795000
32,6.53,13,گوشی موبایل, شیائومی, Redmi 9A ,5000,3649000
128,6.1,12,گوشی موبایل, اپل,iPhone 13 CH/A Not Active ,3240,11550000
128,6.43,108,گوشی موبایل, شیائومی, Redmi Note 11S ,5000,13680000
128,6.67,108,گوشی موبایل, شیائومی,Redmi Note 11 Pro ,5000,16859000
256,6.46,64,گوشی موبايل,سامسونگ,   A53 5G ,5000,8699000
128,6.4,64,گوشی موبايل,سامسونگ,  M32  SM-M325F/DS,6000,99759000
128,6.43,50,گوشی موبایل, شیائومی,Redmi Note 11 ,5000,10239000
4MB,1.77,X,گوشی موبايل,نوکيا,105 (2019) ,800,679000
50,64,6.6,گوشی موبایل, سامسونگ,  Galaxy A13 SM-A137 ,5000,7549000
32,6.5,8,گوشی موبايل,سامسونگ,  Galaxy A03 Core ,5000,3795000
32,6.53,13,گوشی موبایل, شیائومی, Redmi 9A ,5000,3649000
128,6.1,12,گوشی موبایل, اپل,iPhone 13 CH/A Not Active ,3240,11550000
128,6.43,108,گوشی موبایل, شیائومی, Redmi Note 11S ,5000,13680000
128,6.67,108,گوشی موبایل, شیائومی,Redmi Note 11 Pro ,5000,16859000
256,6.46,64,گوشی موبايل,سامسونگ,   A53 5G ,5000,8699000
128,6.4,64,گوشی موبايل,سامسونگ,  M32  SM-M325F/DS,6000,99759000
256,6.7,12,گوشی موبایل, اپل,iPhone 13 Pro Max ZA/A Not Active ,4352,13490000
128,6.43,50,گوشی موبایل, شیائومی,Redmi Note 11 ,5000,10239000
4MB,1.77,X,گوشی موبايل,نوکيا,105 (2019) ,800,679000
